"iso","area__ha","umd_tree_cover_extent_2000__ha"
"TCA",99152.01584846977,10851.31188484889
"TCD",113126705.11814977,409749.2946715127
"TGO",5699519.202018944,558803.5132555434
"THA",51405448.59428103,19962441.088565208
"TJK",14211295.405721027,60256.64849433875
"TKM",48959209.554223165,10176.935689062786
"TLS",1491565.3923370938,726234.4514017202
"TTO",515899.59454435203,391844.2819339773
"TUN",15486458.270953432,223827.6198785181
"TUR",78070340.89002256,10060827.80563488
"TUV",49.90083498858027,
"TWN",3640651.397324757,2342180.5473951874
"TZA",94057690.73100975,26406465.774839554
"UGA",24143952.93930386,7764958.854562217
"UKR",60136109.70821224,11133284.65245093
"UMI",541.6797628046156,145.89811682738664
"URY",17746574.344350457,1697322.4230814734
"USA",947083424.5263512,279376627.97980326
"UZB",44755388.10020216,106176.25729182869
"VCT",39788.971628647974,29110.61416118133
"VEN",91249225.45047665,56533524.97089908
"VGB",16932.044499445856,7463.880883783115
"VIR",36213.91572681375,18997.907283305758
"VNM",32927599.947524853,16551332.113413848
"VUT",1231886.2529364156,1181152.2147508068
"XAD",23448.381322564826,455.93756603218446
"XKO",1091976.4479463468,370224.38396688475
"XNC",331406.9141576559,12307.275529253191
"YEM",45220898.291365616,126.16372333529047
"ZAF",121971018.80355966,5983115.285013327
"ZMB",75049201.88691996,24050819.11173331
"ZWE",39068111.134974174,1414326.4246724693
