"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"DNK",482841.736562875,4656.340520046329,885209.8503652707,2016
"DOM",4017725.897643412,24907.404839218274,7365830.812346254,2016
"DZA",894235.0828915795,8011.483778742101,1639430.985301228,2016
"ECU",10956272.270361323,44042.95668030263,20086499.162329096,2016
"EGY",2907.3679038228684,36.72802966215298,5330.174490341924,2016
"ESP",14683543.032704027,107562.36492725615,26919828.893290713,2016
"EST",3485845.9953820957,36334.866977050806,6390717.65820051,2016
"ETH",2774066.7277819873,19581.64310748048,5085789.000933643,2016
"FIN",17394640.63340145,240428.38527362508,31890174.494569324,2016
"FJI",1857951.9901057584,8372.9940766042,3406245.3151938897,2016
"FRA",10237246.952644411,60768.46950602197,18768286.079848085,2016
"GAB",7759178.653234998,32150.617915535186,14225160.864264159,2016
"GBR",4520398.610412974,28808.246988809315,8287397.452423785,2016
"GEO",82139.28530148538,523.4219910561706,150588.68971938986,2016
"GHA",15945589.892946573,119244.56175708125,29233581.470402047,2016
"GIN",26642293.5486371,216012.26550660733,48844204.83916802,2016
"GLP",9845.59974917924,70.02423404483557,18050.266206828608,2016
"GMB",421.1447295312206,5.170541242268193,772.0986708072377,2016
"GNB",1871761.4553142753,16120.145529737236,3431562.6680761715,2016
"GNQ",2356103.067783419,9544.934007180434,4319522.290936268,2016
"GRC",573738.0234377779,6034.199903194351,1051853.0429692592,2016
"GRD",12154.397096827632,59.449762657462145,22283.06134418399,2016
"GTM",31103030.698378664,178396.8040378731,57022222.94702756,2016
"GUF",1814234.785344008,6127.211341665471,3326097.1064640144,2016
"GUY",6595979.920806307,26512.136705374236,12092629.854811562,2016
"HKG",6704.844272842451,43.04229534332149,12292.21450021116,2016
"HND",32135248.131341085,188442.86732847945,58914621.57412532,2016
"HRV",884745.5210323567,5372.963121164636,1622033.455225987,2016
"HTI",3118894.444262504,17267.080063646463,5717973.147814591,2016
"HUN",1890720.3731314372,14020.675000516601,3466320.684074301,2016
"IDN",507685874.6911241,2422071.536672232,930757436.9337275,2016
"IMN",2501.687369091687,17.578412979743803,4586.426843334759,2016
"IND",37051244.92515338,175362.3445626209,67927282.3627812,2016
"IRL",1629938.316019847,9388.156921341375,2988220.2460363857,2016
"IRN",265.2861427301629,2.407965006783718,486.35792833863195,2016
"IRQ",55.566166846798055,0.4917362710307881,101.87130588579643,2016
"ISR",6115.84653965474,64.87129809016173,11212.385322700355,2016
"ITA",3009607.0247563566,24721.590975667394,5517612.878719986,2016
"JAM",353826.9731194344,1991.3896671669982,648682.784052296,2016
"JPN",9698800.881881606,54993.73162252524,17781134.950116277,2016
"KAZ",158071.06499002952,1288.5506122040288,289796.9524817207,2016
"KEN",2886013.8463567034,19048.306961093225,5291025.384987289,2016
"KGZ",1175.941910698382,11.524777086573408,2155.8935029470335,2016
"KHM",42687405.29562859,182417.95363141346,78260243.04198577,2016
"KNA",1884.6468885397458,8.388895962008004,3455.185962322865,2016
"KOR",2482018.6578340945,22537.65417236113,4550367.539362506,2016
"LAO",79187764.3574459,388035.25438479637,145177567.9886508,2016
"LBN",26323.29794748078,266.27434058720996,48259.379570381425,2016
"LBR",27017250.328498505,168585.97008533086,49531625.60224725,2016
"LBY",40.84487419829223,0.5194896307671331,74.88226936353576,2016
"LCA",23515.880181154826,107.17038489837604,43112.44699878385,2016
"LIE",1176.591722968644,5.163633092627042,2157.0848254425136,2016
"LKA",2423348.598898361,17490.125223956627,4442805.764646995,2016
"LSO",1421.7596946946992,15.343229898840203,2606.5594402736147,2016
"LTU",2865019.2276874348,25531.68712381293,5252535.250760296,2016
"LUX",112351.46925505047,520.6800895391065,205977.69363425914,2016
"LVA",4725638.653541924,44945.46223099821,8663670.864826864,2016
"MAR",211127.66260990908,2041.2025672191642,387067.38145150006,2016
"MDA",88521.22920667232,833.4803869876152,162288.92021223262,2016
"MDG",69541089.36380994,383655.6249867542,127491997.1669849,2016
"MEX",38174549.076532595,274182.58205953037,69986673.30697642,2016
"MKD",224506.07205266634,1496.4766005935487,411594.4654298883,2016
"MLI",24273.650363172288,204.82831103208943,44501.69233248254,2016
"MMR",78789067.38248198,362552.3885543088,144446623.5345503,2016
"MNE",217366.42677951592,1119.526832553519,398505.11576244596,2016
"MNG",376281.7205207576,4142.113330181561,689849.8209547227,2016
"MOZ",34859934.712203175,250552.81216453263,63909880.305705816,2016
"MSR",1244.4250797184402,6.2685934245844805,2281.445979483807,2016
"MTQ",3950.828257360553,26.05926787527344,7243.185138494346,2016
"MWI",1948739.4911449484,13509.331561988078,3572689.0670990716,2016
"MYS",132941669.10043506,565249.1817730786,243726393.3507976,2016
"MYT",15912.669154010096,83.46931421062756,29173.226782351845,2016
"NAM",95.75639764755785,1.3206881883430655,175.55339568718935,2016
"NCL",195026.59173078428,1323.908593353271,357548.7515064378,2016
"NGA",8850227.396040354,72189.38696622405,16225416.892740645,2016
"NIC",30090138.42514581,142443.7487564641,55165253.77943401,2016
"NLD",215695.88132906187,1406.6382512151415,395442.44910328015,2016
"NOR",5239859.028599007,60081.68602965781,9606408.219098179,2016
"NPL",224724.4541719405,998.5134169190403,411994.8326485576,2016
"NZL",14089466.166929804,80358.60654095543,25830687.972704634,2016
"PAN",3767173.214701004,17316.703240048068,6906484.226951843,2016
"PER",58131658.63980333,230961.62885486073,106574707.5063061,2016
"PHL",26950270.340353914,129109.70705168761,49408828.957315505,2016
"PNG",45208622.56813423,177925.92697005585,82882474.70824608,2016
"POL",11154735.174680835,86510.33713259349,20450347.82024819,2016
"PRI",92708.68737862888,599.2746830429619,169965.92686081963,2016
"PRK",1270444.2826238312,11509.253959102169,2329147.8514770246,2016
"PRT",11514123.338319818,94646.72428967667,21109226.120252993,2016
"PRY",21897600.403675187,319823.31324750604,40145600.74007115,2016
"REU",1357.7465378245247,7.404617179196482,2489.201986011629,2016
"ROU",3897255.7771283514,23045.154078592164,7144968.924735311,2016
"RUS",404565079.05224466,5051685.722775973,741702644.9291149,2016
"RWA",387994.27761616354,2777.671917526598,711322.8422962998,2016
"SDN",2798.8867679675404,26.677106912372864,5131.292407940491,2016
"SEN",25658.76084841317,254.55735387663486,47041.06155542416,2016
"SGP",19699.07944161234,154.3596279687278,36114.97897628929,2016
"SLB",5079358.344560991,17992.75599011326,9312156.965028483,2016
"SLE",21227194.884345118,177686.75680965433,38916523.95463272,2016
"SLV",1058838.529158343,5743.541113568234,1941203.9701236286,2016
"SOM",5780.6941675347025,86.37904766203658,10597.939307146953,2016
"SRB",830919.798600828,4676.280415975682,1523352.964101518,2016
"SSD",528200.3743345892,4067.781885276311,968367.3529467465,2016
"SUR",4960899.264662934,16877.596383367658,9094981.985215377,2016
"SVK",3195617.22797681,16942.84432520929,5858631.584624151,2016
"SVN",1119848.6699086372,5394.61891912501,2053055.8948325007,2016
"SWE",25543017.0766227,310348.3256952785,46828864.640474945,2016
"SWZ",872638.5597704279,4801.902606689233,1599837.3595791182,2016
"SYR",208420.63953584278,1812.6737014559308,382104.5058157119,2016
"TCA",1197.7892222297805,18.887066909967437,2195.9469074212643,2016
"TCD",355961.93322180223,3165.963229054043,652596.8775733042,2016
"TGO",352977.6604411467,3463.7888226093182,647125.7108087688,2016
"THA",36739296.658584476,171638.61546868656,67355377.20740487,2016
"TKM",8.14381597890593,0.05944391225478781,14.930329294660872,2016
"TLS",235520.88368030812,1296.467269537283,431788.2867472316,2016
"TTO",280765.0278338893,1351.1961365679415,514735.88436213054,2016
"TUN",168491.2664152083,1454.9561057049568,308900.6550945486,2016
"TUR",2816554.9925530404,25633.047734702806,5163684.153013907,2016
"TWN",627903.6911393504,3322.0231102978782,1151156.767088809,2016
"TZA",19537037.617370114,152854.22932995344,35817902.29851188,2016
"UGA",7889563.646642556,67486.0445206755,14464200.018844686,2016
"UKR",13332776.844885197,106760.51083836277,24443424.21562286,2016
"URY",1984837.7293380871,23688.348605539435,3638869.17045316,2016
"USA",347026251.66814387,2264066.7497077077,636214794.7249304,2016
"VCT",3459.7219745616244,16.03810071687623,6342.823620029643,2016
"VEN",39972685.34098977,207335.82490177045,73283256.45848127,2016
"VGB",563.1096303704576,2.8502429745865614,1032.3676556791722,2016
"VIR",1287.767403917774,8.648971679930616,2360.906907182585,2016
"VNM",66213642.6777658,353446.0206847117,121391678.24257064,2016
"VUT",266197.2200120935,1340.6743119259256,488028.2366888383,2016
"XAD",888.538192431039,8.644499366099774,1628.9866861235714,2016
"XKO",170745.9366594614,912.2313165999469,313034.21720901254,2016
"XNC",2167.8233550387026,21.97465567431585,3974.342817570956,2016
"ZAF",11727685.73195296,73546.06795383526,21500757.175247096,2016
"ZMB",20511052.485034276,141637.19948642253,37603596.222562835,2016
"ZWE",1737339.236920088,10955.480626395378,3185121.934353496,2016
"AGO",33010699.195407502,280456.32105130004,60519615.191580415,2017
"ALA",61888.249974485094,735.1438003620265,113461.79161988938,2017
"ALB",209215.68337409335,1689.0250327540468,383562.08618583786,2017
"AND",637.5752940598379,3.4221603947095094,1168.888039109703,2017
"ARG",17654920.545335315,233919.6777671838,32367354.333114758,2017
"ARM",4933.737870974694,41.74731801517295,9045.186096786936,2017
"ATG",6221.965633319633,71.89840979989367,11406.936994419322,2017
"AUS",29181047.70202073,236877.75291195104,53498587.45370467,2017
"AUT",3621367.93153021,18405.689726018692,6639174.541138717,2017
"AZE",10446.681957505203,80.1010522112471,19152.25025542621,2017
"BDI",182000.51579603524,1775.1927772759993,333667.6122927312,2017
"BEL",848575.1720011414,4137.322685932698,1555721.1486687593,2017
"BEN",268567.3066986046,2238.4464013462702,492373.3956141084,2017
"BGD",5737813.816776177,28376.54723302208,10519325.330756325,2017
"BGR",1040201.078280159,7687.8566350433775,1907035.3101802913,2017
"BHS",270008.14427683374,3703.9362265570953,495014.93117419514,2017
"BIH",221705.80182377587,1339.3147675041612,406460.63667692244,2017
"BLR",9288420.370791288,78767.08865605116,17028770.679784033,2017
"BLZ",2807398.9769104766,16366.274295301584,5146898.124335874,2017
"BOL",79914206.12338911,463194.4713748553,146509377.89288002,2017
"BRA",822355419.6874648,4519833.171433768,1507651602.7603521,2017
"BRB",2352.56199841741,15.814096749303035,4313.030330431917,2017
"BRN",266086.89248329424,944.7101789179776,487825.9695527061,2017
"BTN",486078.29253263405,1972.244378721217,891143.536309829,2017
"BWA",73.23224971700265,1.1571796534006653,134.2591244811715,2017
"CAF",11167085.450624777,63910.177588088,20472989.992812093,2017
"CAN",211354561.2417823,2559736.039863313,387483362.27660114,2017
"CHE",491228.55160548585,2542.414850989413,900585.6779433908,2017
"CHL",27106232.991717353,214837.48092775268,49694760.48481518,2017
"CHN",104952368.4372752,644239.3395882017,192412675.46833786,2017
"CIV",44873025.701589584,357273.0221579286,82267213.78624758,2017
"CMR",38495804.42956254,187281.05196284666,70575641.45419797,2017
"COD",318646809.07177484,1467956.6575778397,584185816.6315871,2017
"COG",12700345.243870506,63874.77359254949,23283966.28042926,2017
